Stichwort,Titel,Beschreibung,Sprachausgabe
au_1,Au,"f. Pl. Aua'weibliches Schaf'.",
aug,Aug,"n. Pl., Dim. Augi'Auge'. Van Aug '«von Auge»; mit blossem Auge'.",
augabraama,Augabraama,"f. Pl. gl.'Augenbraue(n)'.",
augabruuna,Augabruuna,"f. Pl. gl.'Augenbraue(n)'.",
augataeller,Augatäller,"m.'«Augenteller»', ein Kinderschreck.Bedeutung und Herkunft sind unbekannt.",
augawasser,Augawasser,"n. koll.'Tränen'. Mir ischt ds Augawasser cho '«mir ist das Augenwasser gekommen»; ich hatte Tränen in den Augen'.",
augschta,Augschta,"m.'Monat August'. Dan Augschta 'im August'.Nur noch sleten, heute fast ausschliesslich Auguscht.",
ave,Ave,"n.'Sennenave', der Alpsegen am Abend.",
awaeg,awäg,"'entfernt'. Awäg tua 'entfernen'; gang mr awäg '«geh mir weg»; geh mir aus den Augen; ich mag nichts davon wissen'.",
awuensscha,awünsscha,"(agwünscht)'«anwünschen»; wünschen'. Eim ds guat Jaar awünsscha 'jemandem ein gutes neues Jahr wünschen'.",
azella,azella,"(azelld)'«anzählen»; auszählen' beim Kinderspiel. Zählreim piff, paff, puff und duu bischt duss.",
azia,azia,"(azoga)'«anziehen»; eisig werden'. As zücht a '«es zieht an»; es wird eisig'.",
azuenta,azünta,"(azünt)'anzünden'. Übertragen: Jemanden azünta '«jemanden anzünden»; jemanden verbal aggressiv angehen' oder 'jemanden mit Worten reizen'.",
baaba,Baaba,"Dim. Baabi, Baabaliweibl. Vorname, Kurzform von Barbara, 
im Dim. 'unbedarftes, dummes weibliches Kind'. Du bischt as Baabi 'du bist ein dummes Mädchen'.","Dein Browser unterstützt die Sprachausgabe nicht."
baald,baald,"'bald, demnächst, in Kürze'. Vor allem auch in der Verbindung baald amaal '«bald einmal»; demnächst'.",
baali,Baali,"m.,männl. Vorname Paul.",
baeaercht,Bäärcht,"n.'Kehricht', vor allem der zusammengekehrte Drägg in der Stube'. Mhd. bâht ursprünglich auch in der Bedeutung 'Pfütze, Pfuhl'.",
baeaerchtruegga,Bäärchtrügga,"f.'Kehrschaufel, Behältnis für das Bäärcht'. Zu Bäärcht und Trügga.",
baard,Baard,"m. Pl. Bäärd'Bart'.",
baeaerg,Bäärg,"m.kurz für Triesenberg, 
wie nhd. 'Berg', 
'Berggut'.",
baarma,Baarma,"m. Pl Bäärma'Futterkrippe'. Mhd. barn(e).",
baarmalada,Baarmalada,"m.'dickes Brett, aus welchem die Futterkrippen gebaut werden'.",
baarmastogg,Baarmastogg,"m.'Holzklotz mit gestemmter Rille zum Einführen der Dielen an der Futterkrippe'.",
baeaeterli,Bääterli,"n. Pl. gl.'Perle des Rosenkranzes'.",
babau,Babau,"m.'Schreckgestalt, Kinderschreck. Lautmalende Verdoppelung von romanisch bau.",
bach,Bach,"m. Pl. Bech, Dim. Bächli'Bach'.",
bachboord,Bachboord,"n.'«Bachbort»; Bachufer, Böschung'. Zu Boord.",
bachha,bachha,(pachha)'backen'.,
bachhati,Bachhati,"f. koll.'alles, was auf einmal gebacken wird'. An Bachhati Brood '«das auf einmal gebackene Brot»'.",
bachhblaechh,Bachhblächh,"n.'Backblech', auch einfaches Blächh.",
bachh-holz,Bachh-Holz,"n.'«Backholz»; Holz, welches zum Brotbacken verwendet wird'.",
bachhmael,Bachhmäl,"n.'«Backmehl»; Mehl, welches zum Backen verwendet wird'.",
bachhofa,Bachhofa,m.'Backofen',
bachhschiid,Bachhschiid,"n.'«Backscheit»; einzelnes Holzscheit zum Heizen des Backofens'. Vgl. auch Schiid.",
bachhtag,Bachhtag,"m.'«Backtag»; der Tag, an dem gebacken wird.",
bachnass,bachnass,"'«bachnass»; sehr nass'. Wörtlich 'nass wie ein Bach'.",
bachrolla,Bachrolla,"f.'Sumpfdotterblume (Caltha palustris L.)'.",
bad,Bad,"n. Pl. Beder, Dim. Bedli'Schwimmbad', kurz für 'Badezimmer'.",
baederig,Bäderig,"m. Pl. gl.'grosser, dicker Bauch'.",
badischt,Badischt,"m.,männl. Vorname Baptist.",
badtobler,Badtobler,"m.ein Wetterzeichen, der Nebel, der vom Badtobel, einem grossen Rüfezug an der südlichen Gemeindegrenze, herzieht.",
baduscht,Baduscht,"m.'abgestandenes Gras'. Auf einer Weide, die längere Zeit nicht gemäht wurde ist grösstenteils Baduscht.",
badwanna,Badwanna,"f. Pl. gl., Dim. Badwanni 'Badewanne', 
'Mulde im Schnee'.",
bagataella,Bagatälla,"f. Pl. gl.'Kleinigkeit'. Frz. bagatelle.","Dein Browser unterstützt die Sprachausgabe nicht."
bagg,Bagg,"m. koll.'Tabak', besonders 'Kautabak'. Auch Schiggtabagg. Vgl. auch Tubagg.",
bagga_1,Bagga,"f. Pl. gl., Dim. Baggi '«Backe», Wange'. Vgl. auch Wanga.",
balgga,Balgga,"m. Pl. gl.,Dim. Balggi'Balken'.",
balla,Balla,"Pl. gl. Balla, Dim. Balli,m. 'Ballen', vor allem von Stroh und Heu', 
f. 'Ball, Spielball', bes. auch der 'Fussball'. 
Die ursprünglich weibliche Form ist nur mehr selten, dafür eher talmundartlich dr Ball.",
ballafeist,ballafeist,"'«ballenfeist»; sehr dick, übergewichtig'.",
baelli,Bälli,"m.'Spielkarte, 6 der Farbe Schälla'. Frz. bailli 'Stellvertreter des Königs'.",
balma,Balma,"f.'überhängender Fels; natürlicher Unterstand im Fels'. Mhd. balme.",
banch,Banch,"m. Pl. Beng, Dim. Bengi'Bank, Sitzbank'.",
band,Band,"n. Pl. Bender, Dim. Bandi'Tragriemen', auch wie nhd. Band n., 
'Grasband in Felsen'.",
bandi,Bandi,"f.'üble, schlechte Gesellschaft', auch wie nhd. Verbrecherbande. Frz. bande f. 'Schar, Haufen'.",
baenna,Bänna,"f.'zweirädriger Holzkarren zum Transport von Mist und Jauche'.",
baera,Bära,"m. Pl. gl., Dim. Bärli'Bär'.",
baraentig,baräntig,"[bar´äntig]'rein, vollständig, wirklich'. Dr baräntig Teifl 'der wahre Teufel'.",
barfuass,barfuass,"'barfüssig'. Ma sül nu i dena Maanat barfuass lauffa, waa käs «r» dinna ischt 'man soll nur in den r-losen Monaten (Mai bis August) barfüssig gehen'.",
baermuater,Bärmuater,f.'Blinddarm'.,"Dein Browser unterstützt die Sprachausgabe nicht."
baesa_1,Bäsa,"m. Pl. gl., Dim. Bäsali'Besen'. Älter auch Bäsma.",
baschi,Baschi,"m. Pl. gl.'korpulenter Mann'. Zur Kurzform von Sebastian.",
baesi,Bäsi,"f.'Tante', auch 'Grosstante'. Mhd. base.",
baesma,Bäsma,m.Bäsa,
basscha,Basscha,"m.,männl. Vorname, Kurzform von Sebastian.",
baetschga,bätschga,"(pätschgat)'mit einer stumpfen Axt Holz spalten'. Lautmalend, wegen des entstehenden Tons.",
baetta,bätta,"(pättat)'beten'. Zum End bätta '«zum Ende beten»; Sterbegebete beten'.",
baetti,Bätti,"n. Pl. gl.'Rosenkranz'. Zu bätta 'beten'.","Dein Browser unterstützt die Sprachausgabe nicht."
baettl,Bättl,"m. koll.'wertlose Kleinigkeit'. I würffa dr ganz Bättl angi '«ich werfe den ganzen Bettel hin»; ich gebe auf, ich mache nicht mehr weiter'.",
baettla,bättla,"(pättlat)'betteln'. Ds Bättla versuuma '«das Betteln versäumen»; nichts verdienen mit einer Arbeit; nichts nützen'.",
baettler,Bättler,"m. Pl. gl.'Bettler'.",
baettleranch-chuebl,Bättleranch-Chübl,"m.'Stossbutterfass', ein zylindrisches Butterfass mit Stössel. Auch Stuuderli. Zu Bättler, Ancha und Chübl.",
batzger,Batzger,"m.'Hilfsbursche auf der Alp, der zu untergeordneten Arbeiten angehalten wird'. Jünger für Buab.Batzger ist aus den Talmundarten entlehnt. Rätoromanisch bazcha 'Hausrat, der auf die Alp mitgenommen wird'.",
beck,Beck,"m. Pl. gl.'Bäcker', 
Familienname Beck. 
I gaa no weidli zum Beck 'ich gehe noch schnell in die Bäckerei'.",
bei,Bei,"n. Pl. gl.'Knochen' 
'senkrechte Streben beim Heuschlitten'. 
Stei und Bei schwööra '«Stein und Bein schwören»'.",
beiel,Beiel,"m. Pl. gl.'Beil'.",
beigla_1,Beigla,"f.'Alprechtsholz', Holzstück, auf dem die Weiderechte eingekerbt sind'. Mhd. beigel 'Eichstempel auf den Weinfässern und dem Kerbholz'.",
beischara,beischara,"(peischarat)'zertrampeln des Grases', auch allgemein 'zerdrücken'; 'unruhig sich herumdrücken im Bett vor dem Aufwachen'. Auch verbeischara, vgl. auch streefla.",
beit,Beit,"f.nur in der Redewendung uf Beit 'auf Kredit'. Mhd. beit 'Zögern', beiten 'warten'. Vgl. auch bittloos.",
beiz,Beiz,"f. Pl. Beiza, Dim. Beizli'Gasthaus, Wirtschaft'.",
beizer,Beizer,"m. Pl. gl.allgemein 'Wirt'; 
in Triesenberg speziell der Wirt des Gasthauses Edelweiss. 
Zu Beiz.",
belz,Belz,"m. koll.'Pelz', 
'Haut auf der gekochten Milch'.",
bendl,Bendl,"m. Pl. gl., Dim. Bendali  'Bändel, Schnur'. Sagg und Bendl euphemistischer Fluch, für Saggerment.",
beni,Beni,"männl. Vorname, Kurzform von Benjamin.",
benidiziera,benidiziera,"(benidizierd)'«benedizieren»; weihen; aussegnen'.",
bereits,bereits,"'schon, bereits'. I bi bereits im Lada gsi '«ich war schon im Laden»; ich war schon einkaufen'.",
beri,Beri,"n. Pl. gl.'Beere'.",
berna,berna,"(pernat)'Beeren sammeln'. Zu Beri.",
besserig,Besserig,"f.'Besserung'. An güati Besserig '«eine gute Besserung»' wünscht man einem Kranken.",
bett,Bett,"n. Pl. Better, Dim. Bettli'Bett'. Auch im übertragenen Sinn, vgl. etwa Fasbett.",
betta,betta,"(pettat)'das Bett machen'. Vgl. auch abetta. Zu Bett. Vgl. auch näschta.",
bettbrunzer,Bettbrunzer,"m. Pl. gl., Dim. Bettbrunzerli'Bettnässer',
'Buschwindröschen', auch im Dim. Zu Bett und Brunzer.",
bettchruag,Bettchruag,"m.'«Bettkrug»; Bettflasche aus Steingut'.",
betthaeaess,Betthääss,"n.'Bettwäsche'. Auch Bettzüüg. Zu Bett und Hääss.Die Bettwäsche besteht aus Lilachhi, Chüssiziechli und Zieha.",
bettlaub,Bettlaub,"n. koll'«Bettlaub»; Laub, welches für das Füllen des Laubsaggs verwendet wird'.",
bettsogg,Bettsogg,"m.'«Bettsocken»; Socken, die man zum Schlafen trägt'. Zu Bett und Sogg.",
bettstatt,Bettstatt,f.'Bettgestell'.,
bettzueueg,Bettzüüg,"n.'«Bettzeug»; Bettwäsche'. Auch Betthääss.",
bibla,Bibla,"f. Pl. gl., Dim. Bibali'Henne'.",
bichannt,bichannt,"'bekannt'. Bichannt machha 'veröffentlichen, verkünden'.",
biesch,Biesch,"m.'die erste Kuhmilch nach dem Kalbern'.",
biesch-chueachli,Biesch-Chüachli,"n.'kleiner Kuchen aus Biesch'.Der Kuchen wurde meist erst mit der zweiten, selten mit der erstenMilch einer Kuh gebacken; die erste und die zweite Milch einer Kuh sindsehr fettreich.",
bigoscht,bigoscht,"anerkennende Zurede. Bigoscht bischt duu an Tifaga 'bei Gott, bist du ein Geschickter'. Bigoscht ist eine euphemistische Umwandlung von bei Gott.",
biheimat,biheimat,"'daheim, zuhause'.",
biichta,biichta,"(piichtat)'beichten'. Ds Biichta und ds Puurna höörd amaal am Bäärg 'das Beichten und das Bauern wird es in Triesenberg irgendwann nicht mehr geben' (Spruch eines Triesenbergers).",
biiga_1,Biiga,"f. Pl. gl.'geordneter, aufeinandergeschichteter Stoss gleichartiger Dinge', hauptsächlich die Schiiterbiiga und Holzbiiga.",
biischa,biischa,"(piischat)'(mit erhobenem Schwanz) rasend davonrennen'. Vom Vieh wenn es von Dasselfliegen verfolgt wird.",
biissa_1,Biissa,"f. Pl. gl.'Keil'. Auch Scheidi und Holzscheidi '(Holz-)Keil'. Vgl. auch Wegga und Spaaltwegg 'grosser Keil'.",
biissachoetti,Biissachötti,"f.'Kette zum Anbinden des Viehs am Barren'. Die Biissachötti wurde mit einer Biissa befestigt.",
bildara,Bildara,"f. koll.'Zahnfleisch'. Mhd. bilern, bilren.",
biliabt,biliabt,'beliebt'.,
binda,binda,(punda)'binden'.,
bira,Bira,"f. Pl. gl., Dim. Birali'Birne'.",
birabomm,Birabomm,"m. 'Birnbaum'. Birabommis Holz für das Holz des Birnbaums.",
birabrood,Birabrood,"n. Pl. gl.'«Birnenbrot»; Brot mit eingebackenen kleinen Dörrbirnen'.",
biraschnitz,Biraschnitz,"m. Pl. gl.'«Birnenschnitz»; Stück einer Birne',koll. 'Birnenkompott'.",
birlig,Birlig,"m. Pl. gl.'(kleiner) Heuhaufen im Freien','grosse Menge' in der Redewendung an u Birlig. 
Auch Schochha, vgl. auch Hänza. Mhd. birlinc.",
bis_2,bis,"zeitl.'bis'. Bis har 'bisher'; bis dar 'bis zu jenem Zeitpunkt', bis de 'bis dann'.",
bitrueabt,bitrüabt,"'gewitzt, schlau, frech'; dazu Bitrüabta m. Pl. Bitrüabti 'ein mit allen Wassern Gewaschener'. Vgl. auch Saggerment.",
bitschgi,Bitschgi,"n.'Kerngehäuse von Obst'. Auch Gätschi.",
bittloos,bittloos,"'ungeduldig; zudringlich, lästig drängend', von einem Menschen, der nicht warten kann. Mhd. bîtelos zu bîten 'warten'; der heute kurze Vokal -i- ist wohl an nhd. bitten angelehnt. Vgl. auch Beit.",
bitz_1,Bitz,"m.'das letzte Bisschen; der letzte Rest'. As hed muassa dr Bitz usem Ofa 'es musste der letzte Rest aus dem Ofen (genommen werden)'.",
blaa,blaa,"'blau'. Blääui Heuperi 'Heidelbeeren'.",
blaatera,Blaatera,"f. Pl. gl.'Blase, Brandwunde'.",
blaateri,Blaateri,"m.'langsam (arbeitender oder gehender) Mensch'.",
blaechh_1,Blächh,n.'Blech'.,
blangga,Blangga,"f.'Bohle', ein ca. 5 cm dickes Brett.",
blanggaboda,Blanggaboda,"m.'Fussboden aus Blangga'.",
blaetz,Blätz,"m. Pl. gl., Dim. Blätzi'Lappen, Stofffetzen'. Mhd. blëtz.",
blaetza,blätza,"(plätzat)'putzen, den Boden mit einem Blätz uufnä'. Plätzat Hosa 'geflickte (mit einem Blätz versehene) Hose'.",
blaetztasi,Blätztasi,"n.'selbstgemachte Hausschuhe (Tasi) aus Stoffresten (Blätz)'.",
blaeuala,Bläuala,"m.'blaues Mal am Körper', von einem Schlag herrührend. Zu blaa.",
bleeja,bleeja,"(pleed),auch bleea '(auf)blähen'.",
blei,blei,"'waagrecht'. As ischt blei 'es ist waagrecht'",
bliiba,bliiba,"(pliba)'bleiben'. Ich blub no as bitz 'ich würde noch ein wenig bleiben'.",
bloeoed,blööd,"'flau'. Mir würd ganz blööd sagt man, wenn einem ein Schwindel bzw. ein Schwächegefühl befällt, etwa, wenn man Hunger hat oder nach einer Krankheit.",
bluad,Bluad,n.'Blut'.,
bluadtatsch,Bluadtatsch,"m.'Speise aus Kartoffeln und Blut'. Vgl. Tatsch.",
bluadwurscht,Bluadwurscht,m.'«Blutwurst»'.,
bluama,Bluama,"f. Pl. gl., Dim. Bluami, Blüamli 'Blume'. Früher dafür nur Meia.",
bluascht,Bluascht,"f.'Blüte, Blütezeit'.",
blueaschtli,Blüaschtli,"m.'weisser Belag auf der Zunge von Kleinkindern'. Zu Bluascht.",
"bluatsnaggig,","bluatsnaggig, blutsnaggig","'«bluttnackt»; vollständig unbekleidet'. Mhd. blutnacket.",
blutzger,Blutzger,"m.'Knirps'. Spielform von Butzger.",
bluug,bluug,"von verletzter, abgeschabter, durchsichtiger Haut, auch vom Stoff;'rekonvaleszent, gesundheitlich empfindlich, (noch) schwach und anfällig für einen Rückfall'. Mhd. blûc.",
boda,Boda,"m. Pl. Böda, Dim. Bödali, älter Büdami'«Boden»; ebene Fläche, Talgrund; Bergterrasse',im Dim. 'kleines Gut'. Mhd. boden, bodem.",
boda-,boda-,"oft verwendetes Verstärkungspräfix etwa bodaguat 'sehr gut, ausgezeichnet', bodastarch 'sehr stark, kräftig' usw.",
bodaga,bodaga,"'«bodigen»; besiegen, zu Boden bringen'.",
boga,Boga,"m. Pl. Böga, Dim. Bogi'Bogen'.",
bogapfiil,Bogapfiil,"n.'«Bogenpfeil»; Pfeilbogen'.",
bogg,Bogg,"m.'einfaches Holzgestell'. Vgl. Säägbogg.",
bogg-,bogg-,"Verstärkungspräfix, vor allem in den Verbindungen bogglam '«bocklahm»; müde, unbeweglich' und bogghert '«bockhart»; steinhart'.",
boggs,Boggs,"m. Pl. Böggs'Schlag mit der Faust'. Ar hed mr an Boggs gä 'er hat mich mit der Faust geschlagen'.",
boggsla,boggsla,"(poggslat) Dim. böggsla'Lärm machen durch Klopfen', übertr. auch für das kopfüber Fallen, wenn es Lärm macht.",
boegla,bögla,(pöglat)'bügeln'.,
boeglbrid,Böglbrid,n.'Bügelbrett'.,
boegliisa,Bögliisa,n.'Bügeleisen'.,
boella,Bölla,"m. Pl. gl.,'Zwiebel'. Auch Zwibla. Siehe das folgende Bolla.",
bolla,Bolla,"m. Pl. Bölla, Dim. Bolli'Brocken, Felsbrocken', allgemein für alles rundliche, im Dim. auch 'Bonbon'. Mhd. bolle.",
bollahudli,Bollahudli,"'entrindetes Tännchen zum Rühren der Milch beim Käse Machen'. Umgewandelt aus urspr. «Bulderhudel»; Hudel zum Verrühren des Bulder. Hudel zu mhd. hudel 'Lappen', vgl. auch Hudla.",
boelli,Bölli,"m. Pl. gl.'Kopf'. Auch Grind.",
bomm,Bomm,"m. Pl. Bömm, Dim. Bommi 'Baum'.","Dein Browser unterstützt die Sprachausgabe nicht."
boemmig,bömmig,"'«bäumig»; riesig, grossartig'.",
bommpigger,Bommpigger,"m.'«Baumpicker»; Specht'.","Dein Browser unterstützt die Sprachausgabe nicht."
bongert,Bongert,"m.'Baumgarten'. Der Bongert ist die Wiese, meist mit Bäumen, die beim Wohnhaus liegt oder zum Wohnhaus gehört.",
boona,Boona,"f. Pl. gl., Dim. Böönli'Bohne'.",
boonajaeaegg,Boonajäägg,"m.'Eichelhäher'. Auch kurz Jäägg.",
boonastichhl,Boonastichhl,"m.'Bohnenstange', übertr. auch für eine lange, hagere Person. Auch kurz Stichhl.",
boonasuppa,Boonasuppa,f.'«Bohnensuppe»'.,
boord,Boord,"n. Pl. Böörter, Dim. Boorti'«Bort»; steile Böschung; Rand, kleiner Abhang; äusseres, abfallendes Ende eines Gebietes'.Mhd. bort m./n. 'Rand'.Ein Spruch lautet: jedas Boord an Tschoopa chelter '«jedes Bort eine Jacke kälter»; es sind (von unten nach oben): Leitawisboord, Hofiboord, Sennwisboord, Haberacherboord und Zliinerboord gemeint.",
boeoertla,böörtla,"(pöörtlat) 'säumen, einen Saum machen'.",
boeoesch,böösch,"'böse'. Verstärkt füürböösch. Jemandem z Bööschda reda 'gegen jemanden hetzen': äni hed mir z Bööschda gredt 'jene hat gegen mich aufgehetzt'.",
boeoeschara,bööschara,"(pööscharat)'«böseren»; sich verschlimmern', speziell auch 'abmagern'. As hed pööscharat 'es wurde schlimmer' (speziell vom Wetter).",
bott,Bott,"n.'Gebiet, Dorfteil'bei einer Gant auch kurz für Angebot. 
Mhd. (ge)bot.",
bowaerli,Bowärli,"n. Pl. gl.'Zuckererbse'. Zu frz. pois verts 'grüne Erbsen'.","Dein Browser unterstützt die Sprachausgabe nicht."
braahat,Braahat,"m.'Brachmonat, Juni'.In diesem Monat findet gewöhnlich die Alpauffahrt statt (zwischen dem10. und dem 20. Juni); der Brachmonat ist der Monat, in dem dasbrachliegende Feld bearbeitet wurde. Dazu der Sinnspruch über dasTrinken von Wasser: Tring da Merza keis, da n Abrella wia an Geis, da Maia wia an Chua, und da Braahat de rächt gnuag.",
braeaema_1,Brääma,"f. Pl. gl., Dim. Bräämi'Viehbremse'. Vgl. auch Chläberli.",
braechha,brächha,(prochha)'brechen'.,
braedwiisch,brädwiisch,"'falsch geschnitten', vom Holz.",
braegl,Brägl,"m.'das einmalige geräuschvolle Zusammenfallen', etwa eines Stapels (Äns hed an Brägl taa). Zu brägla.",
braegla,brägla,"(präglat)'prasselnd fallen'. Vgl. auch präglat.",
braemsla,brämsla,"(prämslat)'drängen; keine Ruhe geben'. Vgl. auch nieta.",
braemstalla,brämstalla,"(prämstallat)'das Vieh vor Insekten schützen'.Das Vieh wurde entweder in den Stall oder in einen nahen lichten Waldgetrieben, oder die Fliegen wurden durch ein Feuer vertrieben.",
brand,Brand,"m.'«Brand», Feuersbrunst', 
das Durstgefühl am Morgen nach einem Rausch.",
braend,Bränd,"n.'die Verpflegung im Rucksack'. Vgl. auch Zbränd.Dazu gehörte Gebackenes, Geräuchertes und Selbstgebranntes.",
braenda,brända,(prändat)'essen'.,
brandsola,Brandsola,"f.'Sohle im Innenschuh'.",
braenta,Bränta,"f. Pl. gl., Dim. Bränti'weites, rundes, hölzernes, niederes Milchgeschirr'. Mhd. brente.","Dein Browser unterstützt die Sprachausgabe nicht."
braentalatta,Bräntalatta,"f.'Latte zu Ablage der Bränta tagsüber'.",
brattig,Brattig,"f.'Gespräch', auch 'Geschwätz', auch Verzal,'Kalender'.",
braeuslberi,Bräuslberi,"n. Pl. gl.'Preiselbeere'.",
bredaga,bredaga,"(predagat)'predigen' vom Pfarrer,jemandem bredaga 'auf jemanden einreden, ihn zu überzeugen versuchen'.",
bredig,Bredig,"f. Pl. Bredaga'Predigt'.",
breemimarcht,Breemimarcht,"m.'«Prämienmarkt»', die Viehprämierung im Herbst nach der Alpabfahrt.",
breianni,Breianni,"weibl. Vorname, alte Koseform für Marianne.",
breit,breit,"'breit'. Da breitawäg 'breitseits'.",
breitaeggs,Breitäggs,f.'Breitaxt'.,
brenna,brenna,"(prennd)'brennen', vom Schmerz durch Hitze verursacht.Schi brenna 'sich verbrennen; sich durch Hitze verletzen'. Vgl. auch brinna",
bretscha,Bretscha,"f.'einfaches Bett'. Zu ahd. britissa 'Brett'.",
brid,Brid,"n. Pl. Britter, Dim. Brittli 'Brett'. Mhd. brët, Pl. britir.",
brillafas,Brillafas,"n.'«Brillenfass»; Behälter für eine Brille'; Brillenetui'.",
bringa,bringa,(prunga)'bringen'.,
brinna,brinna,"(prunna)'brennen'. As hed prunna 'es hat gebrannt'. Vgl. auch brenna.",
brittla,brittla,"(prittlat) 'überreden, überzeugen, beeinflussen, zurechtweisen'. Ein Paar zämabrittla 'ein Paar zusammenbringen'; där würd prittlat 'dieser wird zurechtgewiesen.",
brob,Brob,"f.'«Probe»'. Uf ara Brob 'an einer Probe'.Bei Erzählungen handelt es sich meist um die wöchentliche Probe des Männergesangsvereins oder der Harmoniemusik.",
brochha,Brochha,"m. Pl. Bröchha, Dim. Brochhi'grosses Stück', meist für Holz gebraucht. Im Diminutiv auch für kleinere Stückchen, vgl. etwa Milch und Brochhi in (heisser) Milch aufgeweichte Brotstücke, die gezuckert werden.",
broechhla,bröchhla,"(pröchhlat)'kleine Brocken aus etwas machen'.",
brood,Brood,"n. Pl. gl., Dim. Brooti 'Brot'.",
broodchanzla,Broodchanzla,"f.'«Brotkanzel», Gestell für das Brot'.Es befand sich im Keller. Vgl. auch Hengati.",
broodschuessel,Broodschüssel,"m.'Brett mit Stiel zum Einschiessen des Brotes in den Ofen'. Schüssel zu ahd. sciozan 'schiessen'.",
broodzeini,Broodzeini,"n.'Adamsapfel'. Zu Brood und Zeina.",
bruea,Brüa,"f. koll.'Brühe, schmutziges Wasser'.",
brueaja,brüaja,"(prüad)'mit siedend heissem Wasser übergiessen'.",
brueatig,brüatig,"'brütend heiss'.",
brueawaarm,brüawaarm,"nur in den Redewendung brüawaarm verzella 'etwas sofort (weiter)erzählen'.",
brudla,brudla,"(prudlat)'hastig, überstürzt, undeutlich reden', hauptsächlich von Kindern, aber auch von einem Betrunkenen, wenn er sein «Herz ausschüttet» (ar hed nu no prudlat), 
'zischen, gurgeln von siedendem oder fliessendem Wasser'.","Dein Browser unterstützt die Sprachausgabe nicht."
